Architecture,Core_Speed,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,PSU,Pixel_Rate,Power_Connector,Process,ROPs,Release_Date,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection
Kepler GK104-N13E-GTX-A2,719 MHz,1,Yes,DX 12.0,1,No,512KB,Nvidia,100 Watts,2048 MB,115.2GB/sec,256 Bit,900 MHz,GDDR5,GeForce GTX 775M Mac Edition,Yes,4.5,N/A,23 GPixel/s,N/A,28nm,32,08-Nov-2013,4096x2160,Yes,5,112,81 GTexel/s,N/A
Kepler GK106-N14E-GL-A1 (x2),628 MHz,1,Yes,DX 12.0,1,No,256KB(x2),Nvidia,100 Watts,4096 MB,128GB/sec,128 Bit,1000 MHz,GDDR5,GeForce GTX 760M SLI,Yes,4.5,N/A,21 GPixel/s,N/A,28nm,16 (x2),30-May-2013,4096x2160,Yes,5,64,84 GTexel/s,N/A
Kepler GK106-N14E-GE-B-A1,850 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,65 Watts,2048 MB,64.1GB/sec,128 Bit,1002 MHz,GDDR5,GeForce GTX 765M,Yes,4.5,N/A,14 GPixel/s,N/A,28nm,16,30-May-2013,4096x2160,Yes,5,64,54 GTexel/s,N/A
Kepler GK107-GT-755M (x2),980 MHz,1,Yes,DX 12.0,1,No,256KB(x2),Nvidia,100 Watts,4096 MB,172.8GB/sec,128 Bit,1350 MHz,GDDR5,GeForce GT 755M SLI,Yes,4.5,N/A,31 GPixel/s,N/A,28nm,16 (x2),25-Jun-2013,4096x2160,Yes,5,32,63 GTexel/s,N/A
Kepler GK106-N14E-GL-A1,628 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,55 Watts,2048 MB,64.1GB/sec,128 Bit,1002 MHz,GDDR5,GeForce GTX 760M,Yes,4.5,N/A,11 GPixel/s,N/A,28nm,16,30-May-2013,4096x2160,Yes,5,64,42 GTexel/s,N/A
Kepler GK107-N14P-GT,967 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,50 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 750M v3,Yes,4.5,N/A,19 GPixel/s,N/A,28nm,16,09-Jan-2013,4096x2160,Yes,5,32,37 GTexel/s,N/A
Kepler GK107-N14P-GT,926 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,50 Watts,2048 MB,80.2GB/sec,128 Bit,1253 MHz,GDDR5,GeForce GT 750M Mac Edition,Yes,4.5,N/A,15 GPixel/s,N/A,28nm,16,08-Nov-2013,4096x2160,Yes,5,32,30 GTexel/s,N/A
Kepler GK107 (x2),967 MHz,1,Yes,DX 12.0,1,No,0KB(x2),Nvidia,80 Watts,4096 MB,160GB/sec,128 Bit,1250 MHz,GDDR5,GeForce GT 750M SLI,Yes,4.5,N/A,31 GPixel/s,N/A,28nm,16 (x2),01-Apr-2013,4096x2160,Yes,5,32,62 GTexel/s,N/A
Kepler GK107-N14P-GT,967 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,50 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 750M,Yes,4.5,N/A,19 GPixel/s,N/A,28nm,16,09-Jan-2013,4096x2160,Yes,5,32,37 GTexel/s,N/A
Kepler GK107-N14P-GT,941 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,50 Watts,2048 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,GeForce GT 750M 2GB GDDR5,Yes,4.5,N/A,17 GPixel/s,N/A,28nm,16,09-Jan-2013,4096x2160,No,5,32,34 GTexel/s,N/A
Kepler GK107-N14P-LP,837 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,45 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 745M v2,Yes,4.5,N/A,17 GPixel/s,N/A,28nm,16,01-Apr-2013,4096x2160,No,5,32,33 GTexel/s,N/A
Kepler GK107-GT-740M,810 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,45 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 740M v2,Yes,4.5,N/A,14 GPixel/s,N/A,28nm,16,01-Apr-2013,4096x2160,No,5,32,29 GTexel/s,N/A
Kepler GK107-N14P-LP,837 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,45 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 745M,Yes,4.5,N/A,13 GPixel/s,N/A,28nm,16,01-Apr-2013,4096x2160,No,5,32,27 GTexel/s,N/A
Kepler GK107-GT-755M,980 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,50 Watts,2048 MB,86.4GB/sec,128 Bit,1350 MHz,GDDR5,GeForce GT 755M,Yes,4.5,N/A,16 GPixel/s,N/A,28nm,16,25-Jun-2013,4096x2160,No,5,32,31 GTexel/s,N/A
Kepler GK208-GT-740M,980 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,33 Watts,2048 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce GT 740M 64-bit Edition,Yes,4.5,N/A,8 GPixel/s,N/A,28nm,8,20-Jun-2013,4096x2160,Yes,5,32,34 GTexel/s,N/A
Kepler GK107-GT-740M,810 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,45 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 740M,Yes,4.5,N/A,13 GPixel/s,N/A,28nm,16,01-Apr-2013,4096x2160,No,5,32,26 GTexel/s,N/A
Kepler GK208,719 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,33 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 730M v2,Yes,4.5,N/A,7 GPixel/s,N/A,28nm,8,06-Mar-2014,4096x2160,No,5,16,14 GTexel/s,N/A
Kepler GK107,725 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,33 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 730M,Yes,4.5,N/A,12 GPixel/s,N/A,28nm,16,20-Jan-2013,4096x2160,No,5,32,23 GTexel/s,N/A
Fermi GF117-N14M-GE,775 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,33 Watts,2048 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce GT 720M 2GB,Yes,4.5,N/A,8 GPixel/s,N/A,28nm,8,01-Apr-2013,2560x1600,No,5,16,15 GTexel/s,N/A
Kepler GK208,575 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,17 Watts,2048 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce GT 735M,Yes,4.5,N/A,15 GPixel/s,N/A,28nm,16,01-Apr-2013,4096x2160,No,5,32,30 GTexel/s,N/A
Fermi GF117-N14M-GL,775 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,15 Watts,1024 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 710M,Yes,4.5,N/A,6 GPixel/s,N/A,28nm,8,09-Jan-2013,2560x1600,No,5,16,12 GTexel/s,N/A
Fermi GF117-N14M-GE,625 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,33 Watts,1024 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce GT 720M,Yes,4.5,N/A,8 GPixel/s,N/A,28nm,8,01-Apr-2013,2560x1600,No,5,16,15 GTexel/s,N/A
Kepler GK107,745 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,45 Watts,2048 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,GeForce GT 650M v2,Yes,4.5,N/A,12 GPixel/s,N/A,28nm,16,22-Mar-2012,4096x2160,Yes,5,32,24 GTexel/s,N/A
Maxwell GM204 (x2),1038 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,200 Watts,16384 MB,320.8GB/sec,256 Bit,1253 MHz,GDDR5,GeForce GTX 980M 8GB SLI,Yes,4.5,N/A,133 GPixel/s,N/A,28nm,64 (x2),07-Oct-2014,4096x2160,Yes,5,96,199 GTexel/s,N/A
Maxwell GM204,1038 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,122 Watts,8192 MB,160.4GB/sec,256 Bit,1253 MHz,GDDR5,GeForce GTX 980MX 8GB,Yes,4.5,N/A,72 GPixel/s,N/A,28nm,64,01-Jun-2016,4096x2160,Yes,5,104,117 GTexel/s,N/A
Maxwell GM204-N16E-GX-A2,1038 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,100 Watts,8192 MB,160.4GB/sec,256 Bit,1253 MHz,GDDR5,GeForce GTX 980M 8GB,Yes,4.5,N/A,72 GPixel/s,N/A,28nm,64,07-Oct-2014,4096x2160,Yes,5,96,108 GTexel/s,N/A
Maxwell GM204-N16E-GX-A2,1038 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,100 Watts,4096 MB,160.4GB/sec,256 Bit,1253 MHz,GDDR5,GeForce GTX 980M 4GB,Yes,4.5,N/A,72 GPixel/s,N/A,28nm,64,07-Oct-2014,4096x2160,Yes,5,96,108 GTexel/s,N/A
Maxwell GM204,924 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,75 Watts,3072 MB,120.3GB/sec,192 Bit,1253 MHz,GDDR5,GeForce GTX 970MX 3GB,Yes,4.5,N/A,58 GPixel/s,N/A,28nm,56,01-Jun-2016,4096x2160,Yes,5,88,91 GTexel/s,N/A
Maxwell GM204-N16E-GT-A2 (x2),924 MHz,1,Yes,DX 12.1,1,No,2048KB(x2),Nvidia,150 Watts,12288 MB,240.6GB/sec,192 Bit,1253 MHz,GDDR5,GeForce GTX 970M 6GB SLI,Yes,4.5,N/A,95 GPixel/s,N/A,28nm,48 (x2),07-Oct-2014,4096x2160,Yes,5,80,159 GTexel/s,N/A
Maxwell GM204,924 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,81 Watts,3072 MB,120.3GB/sec,192 Bit,1253 MHz,GDDR5,GeForce GTX 970M 3GB,Yes,4.5,N/A,50 GPixel/s,N/A,28nm,48,07-Oct-2014,4096x2160,Yes,5,80,83 GTexel/s,N/A
Maxwell GM204,924 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,81 Watts,6144 MB,120.3GB/sec,192 Bit,1253 MHz,GDDR5,GeForce GTX 970M 6GB,Yes,4.5,N/A,48 GPixel/s,N/A,28nm,48,07-Oct-2014,4096x2160,Yes,5,80,79 GTexel/s,N/A
Maxwell GM204-N16E-GS (x2),924 MHz,1,Yes,DX 12.1,1,No,2048KB(x2),Nvidia,100 Watts,4096 MB,160GB/sec,128 Bit,1250 MHz,GDDR5,GeForce GTX 965M 4GB SLI,Yes,4.5,N/A,61 GPixel/s,N/A,28nm,32 (x2),07-Jan-2015,4096x2160,Yes,5,64,122 GTexel/s,N/A
Maxwell GM204,1064 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,165 Watts,4096 MB,224GB/sec,256 Bit,1750 MHz,GDDR5,GeForce GTX 980 4GB,Yes,4.5,N/A,76 GPixel/s,N/A,28nm,64,22-Sep-2015,4096x2160,Yes,5,128,152 GTexel/s,N/A
Maxwell GM107-N16P-GX-A1,1029 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,50 Watts,4096 MB,80.2GB/sec,128 Bit,1253 MHz,GDDR5,GeForce GTX 960M 4GB,Yes,4.5,N/A,18 GPixel/s,N/A,28nm,16,12-Mar-2015,4096x2160,Yes,5,40,44 GTexel/s,N/A
Maxwell GM204-N16E-GS,924 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,50 Watts,4096 MB,80GB/sec,128 Bit,1250 MHz,GDDR5,GeForce GTX 965M 4GB,Yes,4.5,N/A,30 GPixel/s,N/A,28nm,32,07-Jan-2015,4096x2160,Yes,5,64,61 GTexel/s,N/A
Maxwell GM107-N16P-GX-A1,1029 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,50 Watts,2048 MB,80.2GB/sec,128 Bit,1253 MHz,GDDR5,GeForce GTX 960M 2GB,Yes,4.5,N/A,18 GPixel/s,N/A,28nm,16,12-Mar-2015,4096x2160,No,5,40,44 GTexel/s,N/A
Fermi GF119,738 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,20 Watts,1024 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 610M,Yes,4.5,N/A,6 GPixel/s,N/A,40nm,8,01-Dec-2011,2560x1600,No,5,8,6 GTexel/s,N/A
Maxwell GM107-N16P-GT,993 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,50 Watts,2048 MB,32GB/sec,128 Bit,1000 MHz,DDR3,GeForce GTX 950M v2 2GB,Yes,4.5,N/A,18 GPixel/s,N/A,28nm,16,12-Mar-2015,4096x2160,No,5,40,45 GTexel/s,N/A
Maxwell GM108-N16S-GTR,1122 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,25 Watts,2048 MB,16GB/sec,64 Bit,1001 MHz,DDR3,GeForce 940MX 2GB,Yes,4.5,N/A,10 GPixel/s,N/A,28nm,8,01-Mar-2016,4096x2160,No,5,24,30 GTexel/s,N/A
Maxwell GM107,928 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,40 Watts,2048 MB,32GB/sec,128 Bit,1000 MHz,DDR3,GeForce 945M 2GB,Yes,4.5,N/A,17 GPixel/s,N/A,28nm,16,27-Oct-2015,4096x2160,No,5,32,33 GTexel/s,N/A
Maxwell GM107-N16P-GT,993 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,50 Watts,4096 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GTX 950M v2 4GB,Yes,4.5,N/A,18 GPixel/s,N/A,28nm,16,12-Mar-2015,4096x2160,No,5,40,45 GTexel/s,N/A
Maxwell GM204-N16E,N/A,1,Yes,DX 12,1,No,2048KB,Nvidia,70 Watts,2048 MB,80GB/sec,128 Bit,1250 MHz,GDDR5,GeForce GTX 965M 2GB,Yes,4.4,N/A,32 GPixel/s,N/A,28nm,32,07-Jan-2015,4096x2160,Yes,5,64,64 GTexel/s,N/A
Fermi GF119-B1,775 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,15 Watts,1024 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 705M 1GB,Yes,4.5,N/A,3 GPixel/s,N/A,40nm,4,01-Jun-2013,2560x1600,No,5,8,6 GTexel/s,N/A
Maxwell GM108-N16S-GMR,928 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,25 Watts,2048 MB,40GB/sec,64 Bit,1250 MHz,GDDR5,GeForce 930MX 2GB,Yes,4.5,N/A,7 GPixel/s,N/A,28nm,8,01-Mar-2016,4096x2160,No,5,24,22 GTexel/s,N/A
Maxwell GM107-N16P-GT,914 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,50 Watts,2048 MB,80GB/sec,128 Bit,1250 MHz,GDDR5,GeForce GTX 950M 2GB,Yes,4.5,N/A,16 GPixel/s,N/A,28nm,16,12-Mar-2015,4096x2160,Yes,5,40,40 GTexel/s,N/A
Maxwell GM108-N16S-GT-S,1072 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,30 Watts,2048 MB,16GB/sec,64 Bit,1000 MHz,DDR3,GeForce 940M 2GB,Yes,4.5,N/A,9 GPixel/s,N/A,28nm,8,13-Mar-2015,4096x2160,No,5,24,28 GTexel/s,N/A
Maxwell GM108-N16V-GMR,888 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,25 Watts,2048 MB,36GB/sec,64 Bit,1125 MHz,GDDR5,GeForce 920MX 2GB,Yes,4.5,N/A,7 GPixel/s,N/A,28nm,8,01-Mar-2016,4096x2160,No,5,24,21 GTexel/s,N/A
Maxwell GM108-N16S-GM,928 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,25 Watts,2048 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 930M 2GB,Yes,4.5,N/A,8 GPixel/s,N/A,28nm,8,13-Mar-2015,4096x2160,No,5,24,23 GTexel/s,N/A
Maxwell GM108-N16S-GT-S,1072 MHz,1,Yes,DX 12.0,1,No,2048KB,Nvidia,25 Watts,4096 MB,16GB/sec,64 Bit,1000 MHz,DDR3,GeForce 940M 4GB,Yes,4.5,N/A,9 GPixel/s,N/A,28nm,8,13-Mar-2015,4096x2160,No,5,24,28 GTexel/s,N/A
Kepler GK208-N16V-GM,575 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,25 Watts,4096 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 920M 4GB,Yes,4.5,N/A,8 GPixel/s,N/A,28nm,8,13-Mar-2015,4096x2160,No,5,32,31 GTexel/s,N/A
Kepler GK107?,N/A,1,Yes,DX 12.0,1,No,0KB,Nvidia,25 Watts,2048 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 910M 2GB,Yes,4.5,N/A,6 GPixel/s,N/A,28nm,8,27-Jul-2015,4096x2160,No,5,32,26 GTexel/s,N/A
Kepler GK208-N16V-GM,575 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,25 Watts,2048 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 920M 2GB,Yes,4.5,N/A,8 GPixel/s,N/A,28nm,8,13-Mar-2015,4096x2160,No,5,32,31 GTexel/s,N/A
G70M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,35 Watts,256 MB,35.2GB/sec,256 Bit,550 MHz,GDDR3,GeForce Go 7800,Yes,2.1,N/A,N/A,N/A,N/A,N/A,01-Mar-2006,2560x1600,No,3,N/A,N/A,N/A
G73-N-B1,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,512 MB,16GB/sec,128 Bit,500 MHz,GDDR3,GeForce Go 7700,Yes,2.1,N/A,N/A,N/A,N/A,N/A,02-Jan-2006,2560x1600,No,3,N/A,N/A,N/A
G72M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,64 MB,11.2GB/sec,64 Bit,700 MHz,DDR3,GeForce Go 7300,Yes,2.1,N/A,N/A,N/A,N/A,N/A,01-Feb-2006,2560x1600,No,3,N/A,N/A,N/A
G73M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,256 MB,19.2GB/sec,128 Bit,600 MHz,GDDR3,GeForce Go 7600 GT,Yes,2.1,N/A,N/A,N/A,N/A,N/A,02-Aug-2006,2560x1600,No,3,N/A,N/A,N/A
Kepler GK208-N16V-GM,954 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,25 Watts,1024 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce 920M 1GB,Yes,4.5,N/A,8 GPixel/s,N/A,28nm,8,13-Mar-2015,4096x2160,No,5,32,31 GTexel/s,N/A
G72M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,128 MB,7.2GB/sec,64 Bit,450 MHz,DDR3,GeForce Go 7400,Yes,2.1,N/A,N/A,N/A,N/A,N/A,01-Feb-2006,2560x1600,No,3,N/A,N/A,N/A
NV41M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,256 MB,17.6GB/sec,128 Bit,550 MHz,DDR3,GeForce Go 6800,Yes,2,N/A,N/A,N/A,N/A,N/A,25-Feb-2005,N/A,No,3,N/A,N/A,N/A
NV43M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,256 MB,9.6GB/sec,128 Bit,300 MHz,DDR2,GeForce Go 6600,Yes,2,N/A,N/A,N/A,N/A,N/A,29-Sep-2005,N/A,No,3,N/A,N/A,N/A
G73M,N/A,1,Yes,DX 9.0,1,No,0KB,Nvidia,150 Watts,512 MB,12.2GB/sec,128 Bit,380 MHz,DDR2,GeForce Go 7600 512MB DDR2,Yes,2.1,N/A,N/A,N/A,N/A,N/A,01-Mar-2006,2560x1600,No,3,N/A,N/A,N/A
NV44M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,32 MB,2.8GB/sec,64 Bit,350 MHz,DDR,GeForce Go 6400,Yes,2,N/A,N/A,N/A,N/A,N/A,01-Feb-2006,N/A,No,3,N/A,N/A,N/A
NV44M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,10 Watts,32 MB,2.4GB/sec,64 Bit,300 MHz,DDR,GeForce Go 6200,Yes,2,N/A,N/A,N/A,N/A,N/A,01-Feb-2006,N/A,No,3,N/A,N/A,N/A
G73M,N/A,1,Yes,DX 9,1,No,0KB,Nvidia,150 Watts,256 MB,16GB/sec,128 Bit,500 MHz,GDDR3,GeForce Go 7600,Yes,2.1,N/A,N/A,N/A,N/A,N/A,01-Mar-2006,2560x1600,No,3,N/A,N/A,N/A
G84M,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,29 Watts,256 MB,25.6GB/sec,128 Bit,800 MHz,GDDR3,GeForce 8700M GT 256MB,Yes,2.1,N/A,N/A,N/A,80nm,N/A,01-Jun-2007,2560x1600,Yes,4,N/A,N/A,N/A
G84M,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,20 Watts,512 MB,22.4GB/sec,128 Bit,700 MHz,GDDR3,GeForce 8600M GT 512MB,Yes,2.1,N/A,N/A,N/A,80nm,N/A,01-Jun-2007,2560x1600,Yes,4,N/A,N/A,N/A
G84M,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,20 Watts,256 MB,22.4GB/sec,128 Bit,700 MHz,GDDR3,GeForce 8600M GT,Yes,2.1,N/A,N/A,N/A,80nm,N/A,01-Jun-2007,2560x1600,Yes,4,N/A,N/A,N/A
G86M,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,11 Watts,256 MB,9.6GB/sec,64 Bit,600 MHz,GDDR3,GeForce 8400M GS,Yes,2.1,N/A,N/A,N/A,80nm,N/A,01-May-2007,2560x1600,No,4,N/A,N/A,N/A
G84M,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,18 Watts,512 MB,22.4GB/sec,128 Bit,700 MHz,GDDR3,GeForce 8600M GS,Yes,2.1,N/A,N/A,N/A,80nm,N/A,01-Jun-2007,2560x1600,No,4,N/A,N/A,N/A
G86M,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,10 Watts,256 MB,9.6GB/sec,64 Bit,600 MHz,GDDR3,GeForce 8400M G,Yes,2.1,N/A,N/A,N/A,80nm,N/A,01-May-2007,2560x1600,No,4,N/A,N/A,N/A
G86M,N/A,1,Yes,DX 10,1,No,0KB,Nvidia,14 Watts,512 MB,19.2GB/sec,128 Bit,600 MHz,GDDR3,GeForce 8400M GT,Yes,2.1,N/A,N/A,N/A,80nm,N/A,01-May-2007,2560x1600,No,4,N/A,N/A,N/A
Broadwell GT3e,N/A,0,No,DX 11.2,0,Yes,512KB,Intel,65 Watts,2048 MB,12.8GB/sec,128 Bit,800 MHz,eDRAM,Iris i5 5675C,No,4.3,300 Watt & 20 Amps,2 GPixel/s,None,14nm,2,02-Jun-2015,2560x1600,No,5,8,9 GTexel/s,0
Sandy Bridge,N/A,0,No,DX 10.1,0,Yes,0KB,Intel,150 Watts,2048 MB,21.3GB/sec,128 Bit,667 MHz,DDR3,HD Xeon E3-1235,No,3.1,N/A,N/A,None,N/A,N/A,01-Apr-2011,N/A,No,4,N/A,N/A,0
Clarkdale,N/A,1,No,DX 10,1,Yes,0KB,Intel,73 Watts,2048 MB,10.7GB/sec,64 Bit,667 MHz,DDR3,HD i5 K655,No,2.1,N/A,N/A,None,N/A,N/A,30-May-2010,N/A,No,4,N/A,N/A,N/A
Sandy Bridge,N/A,0,No,DX 10.1,0,Yes,0KB,Intel,150 Watts,2048 MB,21.3GB/sec,128 Bit,667 MHz,DDR3,HD Xeon E3-1225,No,3.1,N/A,N/A,None,N/A,N/A,01-Apr-2011,N/A,No,4,N/A,N/A,0
Sandy Bridge,N/A,0,No,DX 10.1,0,Yes,0KB,Intel,150 Watts,2048 MB,17.1GB/sec,128 Bit,533 MHz,DDR3,Intel HD Pentium G620,No,3.1,N/A,N/A,None,N/A,N/A,01-May-2011,N/A,No,4.1,N/A,N/A,0
Skylake GT2,350 MHz,0,No,DX 12.1,0,Yes,1024KB,Intel,47 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Intel HD Pentium G4520,No,4.4,300 Watt & 20 Amps,8 GPixel/s,None,14nm,8,01-Sep-2015,4096x2160,No,5,16,17 GTexel/s,0
Vega 10 XT,N/A,0,Yes,DX 12,1,No,0KB(x4),AMD,200 Watts,8192 MB,256GB/sec,512 Bit,500 MHz,HBM-2,Radeon RX Vega 64 Nano 8GB,No,4.4,600 Watt & 42 Amps,96 GPixel/s,2x 8-pin,14nm,16 (x4),30-Sep-2017,3840x2160,Yes,5,64,384 GTexel/s,0
Vega 10 XTX,N/A,0,Yes,DX 12,1,No,0KB(x4),AMD,375 Watts,8192 MB,256GB/sec,512 Bit,500 MHz,HBM-2,Radeon RX Vega 64 Liquid 8GB,No,4.4,600 Watt & 42 Amps,102 GPixel/s,2x 8-pin,14nm,16 (x4),30-Jul-2017,7680x4320,Yes,5,64,410 GTexel/s,0
R480,N/A,2,Yes,DX 9.0b,0,No,0KB,AMD,150 Watts,256 MB,75.5GB/sec,256 Bit,1180 MHz,GDDR3,Radeon X850 XT Platinum,No,2,N/A,N/A,None,N/A,N/A,21-Dec-2004,2048x1536,No,2,N/A,N/A,0
GCN 1.1 Versuvius XT,1018 MHz,2,Yes,DX 12.0,1,No,512KB(x4),AMD,750 Watts,16384 MB,1280GB/sec,512 Bit,1250 MHz,GDDR5,Radeon R9 295X2 Crossfire,No,4.4,1500 Watt & 50 Amps,195 GPixel/s,None,28nm,48 (x4),08-Apr-2014,4096x2160,Yes,5,176,717 GTexel/s,0
GCN 1.1 Versuvius XT,1018 MHz,2,Yes,DX 12.0,1,No,1024KB(x2),AMD,500 Watts,8192 MB,640GB/sec,512 Bit,1250 MHz,GDDR5,Radeon R9 295X2 XFX Hydra 8GB Edition,No,4.4,850 Watt & 62 Amps,130 GPixel/s,None,28nm,64 (x2),29-Apr-2014,4096x2160,Yes,5,176,358 GTexel/s,0
GCN 1.1 Versuvius XT,1018 MHz,2,Yes,DX 12.0,1,No,1024KB(x2),AMD,500 Watts,8192 MB,640GB/sec,512 Bit,1250 MHz,GDDR5,Radeon R9 295X2,No,4.4,850 Watt & 56 Amps,130 GPixel/s,2x 8-pin,28nm,64 (x2),29-Apr-2014,4096x2160,Yes,5,176,358 GTexel/s,0
GCN 1.1 Hawaii XT,1000 MHz,2,Yes,DX 12.0,1,No,1024KB,AMD,290 Watts,8192 MB,352GB/sec,512 Bit,1375 MHz,GDDR5,Radeon R9 290X XFX Double Dissipation 8GB Edition,No,4.4,750 Watt & 42 Amps,64 GPixel/s,1x 6-pin + 1x 8-pin,28nm,64,07-Nov-2014,4096x2160,Yes,5,176,176 GTexel/s,0
GCN 1.1 Hawaii XT,1000 MHz,2,Yes,DX 12.0,1,No,1024KB,AMD,290 Watts,4096 MB,320GB/sec,512 Bit,1250 MHz,GDDR5,Radeon R9 290X XFX Core 4GB Edition,No,4.4,750 Watt & 42 Amps,64 GPixel/s,1x 6-pin + 1x 8-pin,28nm,64,24-Oct-2013,4096x2160,Yes,5,176,176 GTexel/s,0
RS480,N/A,0,No,DX 9.0,0,Yes,0KB,AMD,150 Watts,2048 MB,3.2GB/sec,64 Bit,400 MHz,DDR,Radeon Xpress X200,No,2,N/A,N/A,None,N/A,N/A,01-Nov-2004,N/A,No,N/A,N/A,N/A,0
